SN,Ar,Tbat,Hw
0.04382407,0.022183942,0.01937001,0.025438564
0.019963997,0.008986507,0.010352521,0.058457844
0.022302675,0.019182882,0.017471223,0.015120446
0.048231417,0.022328335,0.023276813,0.047749948
0.039764214,0.049192284,0.02116714,0.037256566
0.047815037,0.032462116,0.021742138,0.297774665
0.049259982,0.043166973,0.026660881,0.159589451
0.011904311,0.020047495,0.008629277,0.024552164
0.042382796,0.027886632,0.014930447,0.059994348
0.017306644,0.014258829,0.009147938,0.01235317
0.01799226,0.020062387,0.011238932,0.012523102
0.021454772,0.016698862,0.008512537,0.014571269
0.035311491,0.027795656,0.015526073,0.076533178
0.024807633,0.030862344,0.033662834,0.063084833
0.032916528,0.030384029,0.015685696,0.028004121
0.035435202,0.014940174,0.013676548,0.028797552
0.014592395,0.011604193,0.009042673,0.007809537
0.019267066,0.019676884,0.013530757,0.028174577
0.011672208,0.006056752,0.006543734,0.005004715
0.018953488,0.025861557,0.014901742,0.013558416
0.009794862,0.009150329,0.006228962,0.014597893
0.028483321,0.020296998,0.015445232,0.015386804
0.009652225,0.007757593,0.007981791,0.007697583
0.03170866,0.041103468,0.023022171,0.351523627
0.02581642,0.018816197,0.012535219,0.013685903
0.014627203,0.00961059,0.006054307,0.012053726
0.018547338,0.025616543,0.01152109,0.012473894
0.013548858,0.00615099,0.005853317,0.021507297
0.035085499,0.032441673,0.026139658,0.183771323
0.077482774,0.045561102,0.025950997,0.073249843
0.042382327,0.027999008,0.016073059,0.114520762
0.021852797,0.020327513,0.00993875,0.02229828
0.005535511,0.020269258,0.003833114,0.004731014
0.009561232,0.005792657,0.007172808,0.007094087
0.074559107,0.05704725,0.05523327,0.167245826
0.062035942,0.059128681,0.036679147,0.063519348
0.043736065,0.024234462,0.016683091,0.024123607
0.033521799,0.033128182,0.023475656,0.03077008
0.04847546,0.019049551,0.015024111,0.030948662
0.015891389,0.034050756,0.013552336,0.014823909
0.018053335,0.03828113,0.01477932,0.016040396
0.02414853,0.021954646,0.013288187,0.017761417
0.078987852,0.032051415,0.01996135,0.092785762
0.025492028,0.024687753,0.013152645,0.073922755
0.041220302,0.017961298,0.01198561,0.021373537
0.044793233,0.025776531,0.012922394,0.025990373
0.005350481,0.005925183,0.004876955,0.018113136
0.004358364,0.009995433,0.005239206,0.008224966
0.066023446,0.035219575,0.023439468,0.017038534
0.008756745,0.005098176,0.003907026,0.020814864
0.043632858,0.055866047,0.013995897,0.053663371
0.019376616,0.015469912,0.012983945,0.014155304
0.096461968,0.051942987,0.031396143,0.062553521
0.034486563,0.008838963,0.010087249,0.013821573
0.037202814,0.023852798,0.014268276,0.037058731
0.040533009,0.026395919,0.014351549,0.107062427
0.021369948,0.014789127,0.011358862,0.0135938
0.009236412,0.007220589,0.005011887,0.010769578
