MULTIVARIATE,UNIVARIATE.RNN,HYBRID.RNN,SeasonalNaive,Arima,TBATS,HoltWinter
0.009301142,0.007510994,0.005891241,0.04382407,0.022116676,0.017920102,0.021237142
0.006907368,0.003187319,0.002961259,0.019963997,0.008393725,0.008191776,0.014503615
0.017740183,0.007986224,0.007524036,0.022302675,0.023640797,0.019183948,0.022019261
0.017154672,0.014162786,0.014309575,0.048231417,0.038925306,0.027291891,0.07083565
0.021633055,0.01506785,0.014271612,0.039764214,0.045313595,0.028743108,0.036874062
0.014626869,0.009585995,0.008523641,0.047815037,0.033120166,0.021954206,0.02670339
0.014903777,0.010443756,0.009416321,0.049259982,0.036316602,0.02339985,0.080101384
0.008402628,0.006421222,0.005802247,0.011904311,0.015360335,0.009543208,0.019167918
0.012510306,0.007945172,0.00630796,0.042382796,0.027358399,0.018352312,0.037093413
0.006903941,0.005069958,0.004659021,0.017306644,0.014779294,0.012454638,0.020673139
0.012208603,0.007855264,0.006771791,0.01799226,0.029770672,0.016828553,0.024797056
0.009202469,0.006327763,0.006190948,0.021454772,0.023396712,0.013532669,0.013106888
0.010481391,0.009580538,0.007244425,0.035311491,0.020885256,0.016329538,0.046533356
0.024403241,0.010616217,0.009899117,0.024807633,0.02938222,0.029358441,0.024831325
0.020998408,0.010216774,0.009312174,0.032916528,0.029114672,0.020942473,0.031501617
0.013614201,0.007655105,0.007229936,0.035435202,0.062064772,0.015758929,0.011899874
0.011560154,0.002894093,0.003128787,0.014592395,0.008836336,0.009556427,0.074269489
0.021461596,0.012321292,0.011999296,0.019267066,0.018325878,0.016205737,0.062808844
0.007424075,0.001968578,0.002171943,0.011672208,0.008817426,0.007090604,0.073974354
0.019556248,0.009066176,0.008204998,0.018953488,0.024498616,0.020849997,0.135524724
0.010008732,0.002854781,0.0028766,0.009794862,0.008736808,0.006878738,0.007598095
0.011438266,0.006348494,0.006104855,0.028483321,0.019742749,0.016115651,0.019612242
0.006779429,0.002594318,0.002959823,0.009652225,0.008077263,0.007240094,0.008295453
0.028598343,0.012039274,0.012302551,0.03170866,0.040531393,0.036130316,0.053153448
0.007823982,0.005520254,0.004220194,0.02581642,0.019069426,0.015978696,0.018854616
0.00505169,0.003820044,0.003350802,0.014627203,0.009633412,0.007788287,0.01081716
0.015039203,0.00806318,0.008069183,0.018547338,0.02463225,0.015046834,0.039106307
0.004112086,0.002860464,0.002847861,0.013548858,0.010424531,0.005386344,0.007650851
0.011620306,0.006399768,0.005637507,0.035085499,0.026863233,0.026693043,0.056995759
0.018946429,0.011739698,0.009919866,0.077482774,0.033188927,0.026895088,0.02217476
0.006815403,0.004558798,0.005896479,0.042382327,0.020453729,0.010984749,0.048809699
0.013172179,0.007225572,0.006138653,0.021852797,0.020925563,0.014692714,0.040946719
0.003508204,0.002312372,0.002053415,0.005535511,0.008193708,0.005548019,0.022317204
0.00514717,0.00237736,0.002370303,0.009561232,0.006821349,0.006145029,0.00490646
0.009541283,0.00475195,0.004219464,0.074559107,0.056658517,0.046449971,0.013248033
0.032816554,0.017740727,0.018445689,0.062035942,0.060565249,0.041666056,0.053157709
0.011487018,0.008423659,0.00749029,0.043736065,0.02411383,0.020555082,0.066797366
0.020157223,0.010386897,0.009929774,0.033521799,0.029908238,0.023930863,0.087957428
0.008797534,0.006135429,0.005355708,0.04847546,0.02620814,0.017176041,0.046334263
0.01074803,0.006520034,0.00633826,0.015891389,0.01625563,0.014668805,0.029144833
0.019773831,0.008896426,0.007495228,0.018053335,0.026500779,0.022388083,0.031719556
0.010418739,0.006101879,0.005709015,0.02414853,0.021880463,0.015577522,0.014888855
0.010651084,0.011059694,0.009185682,0.078987852,0.024446409,0.020737363,0.030012675
0.014104112,0.007512537,0.007446268,0.025492028,0.024469904,0.022506393,0.034791074
0.008473803,0.005476451,0.005052156,0.041220302,0.016760485,0.015896487,0.018312479
0.011476372,0.007379125,0.006576403,0.044793233,0.040118032,0.022484894,0.018636769
0.002697553,0.00208071,0.001773467,0.005350481,0.003917187,0.005159344,0.004926789
0.009747626,0.005212754,0.003942583,0.004358364,0.01251359,0.00919425,0.013004911
0.011498023,0.009474329,0.008373461,0.066023446,0.054607551,0.025007249,0.021017723
0.006150467,0.002308663,0.002131103,0.008756745,0.005082709,0.0036469,0.014459669
0.00846921,0.007290729,0.007337712,0.043632858,0.030267287,0.016279142,0.025161984
0.016105102,0.009536744,0.008383814,0.019376616,0.022107592,0.018817187,0.034277302
0.019890192,0.01698808,0.015355651,0.096461968,0.05231913,0.039762022,0.044056261
0.016650734,0.003294818,0.003094915,0.034486563,0.008652345,0.008038642,0.010752421
0.010182431,0.007708868,0.006973017,0.037202814,0.023650805,0.015981908,0.019691656
0.013135645,0.007509688,0.007260525,0.040533009,0.024911915,0.018644138,0.061252364
0.007351774,0.00413549,0.00368263,0.021369948,0.014781604,0.011309717,0.057856963
0.004535914,0.002153275,0.001798753,0.009236412,0.012263866,0.008557212,0.014380899
